Wall time,Step,Value
1678199969.037758,386232,0.2199999988079071
1678199996.661088,387294,0.25
1678200029.399473,388460,0.25
1678200041.784924,388960,0.25
1678200053.341655,389417,0.25
1678200063.387178,389796,0.25
1678200082.169204,390476,0.25
1678200241.811042,390727,0.25
1678200242.763724,390735,0.25
1678200249.823456,390986,0.25
1678200269.582693,391795,0.25
1678200278.731784,392146,0.27000001072883606
1678200300.084016,393021,0.28999999165534973
1678200303.849032,393146,0.30000001192092896
1678200322.017929,393835,0.3199999928474426
1678200324.156921,393902,0.3199999928474426
1678200335.20596,394247,0.3199999928474426
1678200338.682087,394367,0.3199999928474426
1678200350.431275,394777,0.3199999928474426
1678200354.30545,394910,0.33000001311302185
1678200367.778649,395444,0.33000001311302185
1678200397.462451,396608,0.3499999940395355
1678200404.25082,396834,0.36000001430511475
1678200418.02188,397351,0.3799999952316284
1678200438.34913,398186,0.3799999952316284
1678200462.754256,399091,0.38999998569488525
1678200515.225206,401003,0.44999998807907104
1678200527.130179,401440,0.44999998807907104
1678200559.231371,402678,0.4399999976158142
1678200592.049651,403864,0.4699999988079071
1678200649.776876,406041,0.49000000953674316
1678200655.232207,406187,0.4699999988079071
1678200671.221084,406604,0.49000000953674316
1678200865.782535,407330,0.5199999809265137
1678200872.715485,407504,0.5099999904632568
1678200878.362056,407640,0.5199999809265137
1678200913.947101,408879,0.5400000214576721
1678200921.137327,409094,0.5400000214576721
1678200924.362766,409198,0.5299999713897705
1678200930.970949,409373,0.5400000214576721
1678200935.039793,409503,0.550000011920929
1678200981.770169,411198,0.5400000214576721
1678200997.796689,411698,0.5600000023841858
1678201012.402267,412282,0.5600000023841858
1678201059.456739,413844,0.550000011920929
1678201068.402615,414035,0.550000011920929
1678201078.717587,414296,0.5699999928474426
1678201086.71389,414546,0.5799999833106995
1678201148.887957,416804,0.5600000023841858
1678201162.82016,417213,0.5400000214576721
1678201166.425722,417303,0.5299999713897705
1678201189.43115,417979,0.5299999713897705
1678201199.455004,418249,0.5400000214576721
1678201235.909032,419305,0.5199999809265137
1678201253.80816,419861,0.5299999713897705
1678201259.45286,420044,0.5400000214576721
1678201314.991369,421979,0.5799999833106995
1678201534.44435,423434,0.5600000023841858
1678201566.623126,424601,0.5600000023841858
1678201569.808575,424695,0.5699999928474426
1678201587.410211,425250,0.5699999928474426
1678201604.213404,425710,0.5600000023841858
1678201624.345158,426430,0.5799999833106995
1678201656.582786,427556,0.550000011920929
1678201678.770961,428289,0.5699999928474426
1678201685.752945,428508,0.5799999833106995
1678201701.868792,429126,0.5799999833106995
1678201753.030667,431054,0.5699999928474426
1678201762.570816,431349,0.5600000023841858
1678201766.27496,431463,0.550000011920929
1678201770.225918,431568,0.550000011920929
1678201781.569951,431971,0.5299999713897705
1678201810.75066,433046,0.5299999713897705
1678201837.77972,433903,0.5600000023841858
1678201845.042575,434094,0.5699999928474426
1678201892.474545,435795,0.5799999833106995
1678201903.523656,436135,0.5600000023841858
1678201909.990955,436318,0.5799999833106995
1678201928.336551,436723,0.5600000023841858
1678201959.314392,437717,0.550000011920929
1678201982.947017,438520,0.5600000023841858
1678201989.935857,438735,0.550000011920929
1678201998.736332,439027,0.550000011920929
1678202000.892075,439067,0.5600000023841858
1678202200.047462,439393,0.5699999928474426
1678202203.321774,439483,0.5799999833106995
1678202274.014335,441832,0.5899999737739563
1678202296.65777,442729,0.6100000143051147
1678202410.770238,447079,0.5699999928474426
1678202436.846264,448063,0.5600000023841858
1678202480.8906,449843,0.5600000023841858
1678202487.236685,450043,0.550000011920929
1678202526.372567,451543,0.550000011920929
1678202551.366468,452543,0.5299999713897705
1678202556.137491,452704,0.5299999713897705
1678202598.192956,454368,0.550000011920929
1678202660.100571,456756,0.5199999809265137
1678202730.731968,459376,0.5
1678202738.823772,459616,0.49000000953674316
1678202751.799419,460116,0.47999998927116394
1678202801.967858,462116,0.46000000834465027
1678202846.036573,463753,0.4399999976158142
1678202872.091734,464753,0.4399999976158142
1678202897.633804,465748,0.4399999976158142
1678202986.086814,469248,0.41999998688697815
1678202997.929159,469748,0.4099999964237213
1678203040.25748,471515,0.3799999952316284
1678203088.113929,473515,0.3499999940395355
1678203346.306259,475775,0.30000001192092896
1678203358.132833,476275,0.28999999165534973
1678203370.605379,476775,0.2800000011920929
1678203406.560786,478152,0.25999999046325684
1678203432.359572,479152,0.23999999463558197
1678203443.154862,479570,0.23000000417232513
1678203465.09973,480431,0.23999999463558197
1678203485.94533,481195,0.2199999988079071
1678203509.22982,482047,0.23000000417232513
1678203545.217467,483376,0.20999999344348907
1678203553.45691,483684,0.2199999988079071
1678203556.555708,483769,0.2199999988079071
1678203572.491538,484329,0.23999999463558197
1678203580.514927,484551,0.23999999463558197
1678203615.742332,485782,0.2800000011920929
1678203626.302555,486147,0.28999999165534973
1678203632.211156,486347,0.28999999165534973
1678203666.585659,487506,0.3199999928474426
1678203682.47677,488106,0.33000001311302185
1678203691.324136,488291,0.3400000035762787
1678203735.401102,489626,0.3700000047683716
1678203772.28154,490614,0.38999998569488525
1678203777.228699,490791,0.38999998569488525
1678203786.695191,491074,0.38999998569488525
1678203812.332691,491795,0.4099999964237213
1678203820.43931,492011,0.4300000071525574
1678203824.18134,492128,0.4300000071525574
1678203849.13504,492963,0.46000000834465027
1678203852.357546,493068,0.4699999988079071
1678203854.844852,493134,0.47999998927116394
1678203863.482041,493335,0.5099999904632568
1678203869.79236,493551,0.5199999809265137
1678203894.612769,494418,0.5400000214576721
1678204125.253945,495208,0.5799999833106995
1678204128.203416,495298,0.5899999737739563
1678204134.650718,495461,0.6100000143051147
1678204140.719527,495620,0.6299999952316284
1678204147.987942,495826,0.6399999856948853
1678204151.584271,495938,0.6499999761581421
1678204190.846098,497047,0.6700000166893005
